name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005
TotalAssets,"4,124,800,000","4,130,600,000","4,161,200,000","4,211,900,000","4,167,500,000","4,208,100,000","4,145,900,000","4,100,700,000","4,216,200,000","4,283,700,000","4,293,700,000","4,357,800,000","4,380,300,000","4,337,243,000","912,569,000","906,552,000","938,527,000","920,657,000","926,031,000","911,087,000","877,528,000","869,824,000","620,458,000","617,983,000","635,930,000","632,332,000","658,067,000","666,269,000","665,075,000","684,563,000","694,797,000","738,699,000","734,492,000","735,676,000","608,514,000","600,390,000","614,324,000","633,039,000","632,355,000","632,802,000","640,523,000","629,985,000","635,323,000","643,498,000","609,980,000","508,102,000","505,238,000","479,992,000","477,469,000","465,199,000","490,871,000","494,768,000","510,620,000","513,584,000","574,866,000","582,846,000","596,801,000","580,525,000","584,867,000","592,593,000","389,020,000","409,368,000","374,084,000","297,691,000"
	CurrentAssets,"1,195,100,000","1,167,800,000","822,000,000","830,600,000","780,900,000","748,200,000","743,900,000","716,000,000","836,100,000","667,300,000","696,300,000","710,300,000","716,500,000","703,907,000","370,468,000","357,670,000","369,610,000","358,163,000","367,533,000","364,749,000","349,068,000","344,187,000","283,741,000","276,296,000","288,155,000","287,156,000","303,970,000","307,898,000","308,910,000","310,801,000","316,756,000","357,569,000","350,916,000","349,205,000","307,403,000","298,290,000","309,952,000","323,756,000","322,590,000","335,478,000","336,455,000","330,640,000","332,914,000","333,449,000","341,582,000","242,535,000","239,282,000","217,282,000","209,443,000","193,871,000","220,886,000","221,214,000","238,738,000","238,508,000","261,821,000","262,077,000","272,181,000","253,015,000","237,101,000","246,173,000","175,590,000","194,117,000","150,288,000","115,907,000"
		CashCashEquivalentsAndShortTermInvestments,"183,700,000","246,100,000","256,800,000","277,800,000","249,400,000","254,400,000","238,700,000","220,100,000","326,900,000","167,300,000","168,000,000","153,600,000","152,400,000","168,957,000","50,097,000","38,114,000","46,396,000","51,994,000","53,151,000","58,981,000","52,937,000","69,118,000","39,765,000","34,330,000","44,843,000","50,320,000","49,649,000","42,277,000","47,426,000","47,503,000","42,994,000","69,168,000","61,849,000","63,604,000","70,272,000","61,507,000","66,171,000","85,154,000","88,136,000","95,235,000","79,946,000","92,515,000","90,261,000","90,487,000","145,522,000","72,723,000","72,161,000","58,203,000","53,566,000","51,497,000","71,940,000","63,644,000","61,403,000","52,073,000","49,822,000","43,232,000","58,962,000","45,807,000","30,037,000","34,376,000","11,588,000","42,527,000","5,760,000","10,060,000"
			CashAndCashEquivalents,"183,700,000","246,100,000","256,800,000","277,800,000","249,400,000","254,400,000","238,700,000","220,100,000","326,900,000","167,300,000","168,000,000","153,600,000","152,400,000","168,957,000","50,097,000","38,114,000","46,396,000","51,994,000","53,151,000","58,981,000","52,937,000","69,118,000","39,765,000","34,330,000","44,843,000","50,320,000","49,649,000","42,277,000","47,426,000","47,503,000","42,994,000","69,168,000","61,849,000","63,604,000","70,272,000","61,507,000","66,171,000","85,154,000","88,136,000","95,235,000","79,946,000","92,515,000","90,261,000","90,487,000","145,522,000","72,723,000","72,161,000","58,203,000","53,566,000","51,497,000","71,940,000","63,644,000","61,403,000","52,073,000","49,822,000","43,232,000","58,962,000","45,807,000","30,037,000","34,376,000","11,588,000","42,527,000","5,760,000","10,060,000"
				CashFinancial,,"246,100,000",,,"249,400,000","254,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"279,800,000","236,200,000","273,400,000","274,200,000","268,300,000","247,700,000","250,600,000","237,000,000","247,500,000","248,400,000","266,800,000","284,600,000","290,300,000","269,987,000","141,411,000","148,251,000","155,666,000","142,133,000","144,333,000","144,214,000","135,332,000","120,926,000","107,315,000","104,690,000","106,348,000","99,866,000","108,034,000","121,129,000","116,323,000","112,705,000","119,790,000","128,166,000","122,496,000","114,116,000","100,640,000","100,605,000","103,813,000","99,330,000","97,526,000","106,045,000","114,648,000","99,158,000","109,589,000","112,207,000","90,406,000","71,529,000","72,124,000","69,239,000","68,610,000","57,609,000","58,605,000","62,267,000","71,060,000","68,803,000","86,631,000","92,672,000","90,371,000","90,348,000","86,634,000","92,706,000","74,246,000","61,506,000","64,555,000","46,441,000"
			AccountsReceivable,"269,600,000","224,500,000","251,700,000","258,900,000","259,000,000","240,800,000","237,000,000","230,600,000","242,900,000","243,200,000","244,300,000","269,600,000","281,800,000","259,815,000","139,863,000","146,419,000","150,794,000","135,499,000","136,511,000","137,797,000","132,618,000","120,319,000","104,671,000","103,271,000","103,869,000","94,720,000","104,400,000","117,334,000","113,047,000","106,458,000","117,872,000","125,412,000","120,673,000","109,084,000","99,773,000","99,218,000","103,103,000","92,933,000","94,513,000","101,823,000","110,451,000","91,859,000","103,718,000","108,373,000","87,042,000","67,403,000","72,124,000","69,128,000","65,829,000","52,855,000","58,605,000","62,267,000","71,060,000","68,803,000","86,631,000","92,672,000","90,371,000","73,248,000","86,634,000","92,706,000","74,246,000","61,506,000","64,555,000","46,441,000"
				GrossAccountsReceivable,"273,800,000","228,600,000","256,000,000","263,100,000","263,600,000","245,700,000","242,700,000","236,300,000","248,200,000","248,300,000","249,600,000","275,100,000","287,000,000","265,443,000","144,408,000","151,221,000","155,609,000","140,041,000","141,990,000","143,174,000","135,811,000","123,433,000","106,821,000","105,641,000","106,137,000","96,885,000","106,481,000","119,889,000","115,547,000","108,760,000","120,674,000","128,173,000","123,152,000","111,329,000","102,545,000","101,800,000","105,816,000","95,493,000","96,407,000","103,290,000","111,751,000","92,951,000","105,786,000","109,666,000",,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-4,200,000","-4,100,000","-4,300,000","-4,200,000","-4,600,000","-4,900,000","-5,700,000","-5,700,000","-5,300,000","-5,100,000","-5,300,000","-5,500,000","-5,200,000","-5,628,000","-4,545,000","-4,802,000","-4,815,000","-4,542,000","-5,479,000","-5,377,000","-3,193,000","-3,114,000","-2,150,000","-2,370,000","-2,268,000","-2,165,000","-2,081,000","-2,555,000","-2,500,000","-2,302,000","-2,802,000","-2,761,000","-2,479,000","-2,245,000","-2,772,000","-2,582,000","-2,713,000","-2,560,000","-1,894,000","-1,467,000","-1,300,000","-1,092,000","-2,068,000","-1,293,000",,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"10,200,000","11,700,000","21,700,000","15,300,000","9,300,000","6,900,000","13,600,000","6,400,000","4,600,000","5,200,000","22,500,000","15,000,000","8,500,000","10,172,000","1,548,000","1,832,000","4,872,000","6,634,000","7,822,000","6,417,000","2,714,000","607,000","2,644,000","1,419,000","2,479,000","5,146,000","3,634,000","3,795,000","3,276,000","6,247,000","1,918,000","2,754,000","1,823,000","5,032,000","867,000","1,387,000","710,000","6,397,000","3,013,000","4,222,000","4,197,000","7,299,000","5,871,000","3,834,000","3,364,000","4,126,000","0","111,000","2,781,000","4,754,000",,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,100,000",,,,,,
		Inventory,"308,300,000","267,800,000","257,000,000","238,200,000","222,700,000","210,400,000","219,200,000","223,100,000","229,400,000","222,500,000","230,300,000","237,500,000","241,000,000","231,172,000","157,049,000","149,592,000","148,684,000","145,611,000","153,014,000","142,696,000","139,444,000","139,840,000","121,443,000","120,567,000","119,434,000","121,156,000","126,036,000","126,956,000","127,598,000","132,736,000","135,383,000","136,301,000","139,727,000","143,665,000","120,571,000","119,881,000","123,034,000","123,776,000","124,336,000","120,973,000","127,112,000","125,970,000","123,539,000","119,630,000","92,851,000","88,217,000","80,299,000","74,221,000","72,847,000","71,853,000","72,255,000","79,387,000","89,762,000","98,410,000","106,374,000","104,963,000","102,104,000","101,835,000","107,641,000","106,418,000","76,911,000","75,769,000","73,691,000","54,654,000"
			RawMaterials,"160,800,000","124,100,000","128,600,000","114,600,000","103,400,000","95,200,000","102,000,000","105,300,000","109,300,000","104,200,000","106,100,000","115,100,000","112,800,000","102,996,000","55,317,000","51,669,000","53,548,000","49,351,000","50,976,000","43,636,000","44,623,000","45,507,000","35,758,000","35,395,000","35,720,000","34,169,000","35,196,000","37,580,000","37,182,000","36,814,000","40,545,000","42,200,000","52,703,000","56,824,000","36,230,000","36,383,000","39,604,000","39,902,000","45,788,000","44,178,000","46,974,000","45,664,000","46,000,000","48,676,000","34,744,000","32,826,000","31,625,000","30,468,000","30,630,000","28,539,000","28,946,000","28,331,000","30,483,000","31,925,000","35,674,000","36,104,000","36,165,000","33,601,000","35,946,000","40,291,000","30,474,000","29,962,000","28,432,000","22,512,000"
			WorkInProcess,"29,900,000","26,700,000","25,700,000","24,700,000","23,400,000","22,100,000","23,000,000","22,700,000","23,600,000","22,400,000","24,300,000","26,500,000","27,500,000","23,449,000","20,310,000","20,037,000","23,860,000","22,914,000","24,359,000","23,529,000","21,933,000","20,128,000","11,915,000","12,536,000","12,465,000","12,864,000","14,170,000","13,994,000","14,348,000","13,641,000","16,352,000","18,909,000","18,953,000","18,432,000","18,743,000","19,597,000","21,337,000","21,199,000","23,187,000","21,706,000","22,849,000","23,838,000","25,976,000","25,788,000","18,278,000","16,223,000","15,203,000","14,143,000","13,950,000","13,711,000","14,891,000","16,174,000","19,328,000","21,310,000","22,932,000","22,416,000","21,273,000","20,376,000","24,299,000","28,279,000","18,963,000","19,112,000","19,038,000","13,876,000"
			FinishedGoods,"117,600,000","117,000,000","102,700,000","98,900,000","95,900,000","93,100,000","94,200,000","95,100,000","96,500,000","95,900,000","99,900,000","95,900,000","100,700,000","104,727,000","81,422,000","77,886,000","71,276,000","73,346,000","77,679,000","75,531,000","72,888,000","74,205,000","73,770,000","72,636,000","71,249,000","74,123,000","76,670,000","75,382,000","76,068,000","82,281,000","78,486,000","75,192,000","68,071,000","68,409,000","65,598,000","63,901,000","62,093,000","62,675,000","55,361,000","55,089,000","57,289,000","56,468,000","51,563,000","45,166,000","39,829,000","39,168,000","33,471,000","29,610,000","28,267,000","29,603,000","28,418,000","34,882,000","39,951,000","45,175,000","47,769,000","46,443,000","44,666,000","47,858,000","47,396,000","51,048,000","37,571,000","36,858,000","35,819,000","25,109,000"
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-13,200,000","-10,097,000","-10,163,000","-9,598,000","-6,843,000"
		PrepaidAssets,"40,300,000","40,400,000","34,800,000","40,400,000","40,500,000","35,700,000","35,400,000","35,800,000","32,300,000","29,100,000","31,200,000","34,600,000","32,800,000","33,095,000","21,215,000","21,012,000","17,745,000","17,344,000","16,671,000","14,891,000","17,448,000","10,429,000","10,486,000","11,981,000","12,704,000","11,217,000","11,089,000","8,400,000","8,445,000","8,617,000","8,195,000","14,192,000","17,108,000","18,066,000","6,274,000","6,709,000","7,317,000","6,578,000","6,752,000","7,376,000","8,893,000","7,141,000","5,091,000","6,712,000","6,905,000","4,168,000","3,940,000","4,762,000","5,155,000","3,647,000","10,054,000","8,212,000","7,517,000","6,514,000","5,871,000","7,845,000","7,364,000","5,578,000","5,767,000","5,668,000","5,930,000","7,532,000","3,895,000","1,973,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,162,000","9,136,000","9,118,000","9,240,000","9,821,000","9,742,000","9,736,000","9,754,000","9,646,000","9,588,000","9,617,000","8,918,000","5,840,000","5,849,000","5,856,000","5,856,000","4,434,000","4,413,000","4,414,000","4,414,000","9,274,000","9,265,000","9,265,000","9,265,000","8,032,000","7,704,000","7,835,000","8,032,000","8,447,000","8,689,000","8,704,000","8,286,000","7,022,000","7,005,000","6,915,000","6,783,000","2,387,000","2,779,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,162,000","9,136,000","9,118,000","9,240,000","9,821,000","9,742,000","9,736,000","9,754,000","9,646,000","9,588,000","9,617,000","8,918,000","5,840,000","5,849,000","5,856,000","5,856,000","4,434,000","4,413,000","4,414,000","4,414,000","9,274,000","9,265,000","9,265,000","9,265,000","8,032,000","7,704,000","7,835,000","8,032,000","8,447,000","8,689,000","8,704,000","8,286,000","7,022,000","7,005,000","6,915,000","6,783,000","2,387,000","2,779,000"
		AssetsHeldForSaleCurrent,"383,000,000","377,300,000",,,,,,,,"0","0","0","0","696,000","696,000","701,000","1,119,000","1,081,000","364,000","3,967,000","3,907,000","3,874,000","4,732,000","4,728,000","4,826,000","4,597,000",,,,,"573,000",,,,,,,,,,,"0","0","0","1,484,000",,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,484,000","1,484,000","1,484,000","1,592,000",,,,,"1,161,000","4,676,000","4,676,000","4,676,000","4,676,000","1,161,000",,,,,,
	TotalNonCurrentAssets,"2,929,700,000","2,962,800,000","3,339,200,000","3,381,300,000","3,386,600,000","3,459,900,000","3,402,000,000","3,384,700,000","3,380,100,000","3,616,400,000","3,597,400,000","3,647,500,000","3,663,800,000","3,633,336,000","542,101,000","548,882,000","568,917,000","562,494,000","558,498,000","546,338,000","528,460,000","525,637,000","336,717,000","341,687,000","347,775,000","345,176,000","354,097,000","358,371,000","356,165,000","373,762,000","378,041,000","381,130,000","383,576,000","386,471,000","301,111,000","302,100,000","304,372,000","309,283,000","309,765,000","297,324,000","304,068,000","299,345,000","302,409,000","310,049,000","268,398,000","265,567,000","265,956,000","262,710,000","268,026,000","271,328,000","269,985,000","273,554,000","271,882,000","275,076,000","313,045,000","320,769,000","324,620,000","327,510,000","347,766,000","346,420,000","213,430,000","215,251,000","223,796,000","181,784,000"
		NetPPE,"323,400,000","325,800,000","360,800,000","366,900,000","370,600,000","385,200,000","376,500,000","381,100,000","383,600,000","391,000,000","390,200,000","401,200,000","403,800,000","364,433,000","187,800,000","189,328,000","194,293,000","191,918,000","190,455,000","185,034,000","178,504,000","177,043,000","142,748,000","145,569,000","147,526,000","145,413,000","152,760,000","153,536,000","151,694,000","156,366,000","152,776,000","155,905,000","156,134,000","157,535,000","136,196,000","136,377,000","137,008,000","138,094,000","136,645,000","129,835,000","128,424,000","123,464,000","122,650,000","125,572,000","105,551,000","105,298,000","104,268,000","102,118,000","104,584,000","105,603,000","107,769,000","109,897,000","109,693,000","110,220,000","111,677,000","113,745,000","114,965,000","116,610,000","116,668,000","116,380,000","81,387,000","82,387,000","81,511,000","66,393,000"
			GrossPPE,"323,400,000","651,300,000","360,800,000","366,900,000","370,600,000","702,100,000","376,500,000","381,100,000","383,600,000","653,800,000","390,200,000","401,200,000","403,800,000","577,732,000",,,,"379,288,000",,,,"337,117,000",,,,"291,198,000",,,,"292,247,000",,,,"281,074,000",,,,"243,316,000",,,,"211,897,000",,,,"178,577,000",,,,"167,197,000",,,,"154,698,000","145,665,000","147,733,000","148,953,000","150,598,000","135,595,000","135,307,000","100,314,000","101,314,000","89,912,000","74,794,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"0"
				LandAndImprovements,,"40,600,000",,,,"44,600,000",,,,"42,700,000",,,,"43,366,000",,,,"31,228,000",,,,"28,098,000",,,,"22,403,000",,,,"26,560,000",,,,"20,803,000",,,,"13,565,000",,,,"13,025,000",,,,"13,037,000",,,,"13,363,000",,,,"12,923,000",,,,"13,993,000",,,,"9,599,000",,"7,892,000"
				BuildingsAndImprovements,,"141,300,000",,,,"149,700,000",,,,"141,300,000",,,,"137,242,000",,,,"79,468,000",,,,"69,350,000",,,,"46,269,000",,,,"44,791,000",,,,"53,078,000",,,,"38,942,000",,,,"36,877,000",,,,"34,302,000",,,,"35,030,000",,,,"31,597,000",,,,"33,927,000",,,,"19,849,000",,"16,500,000"
				MachineryFurnitureEquipment,,"419,400,000",,,,"466,800,000",,,,"433,200,000",,,,"397,124,000",,,,"268,592,000",,,,"239,669,000",,,,"222,526,000",,,,"220,896,000",,,,"207,193,000",,,,"190,809,000",,,,"161,995,000",,,,"131,238,000",,,,"118,804,000",,,,"110,178,000",,,,"102,678,000",,,,"71,866,000",,"50,402,000"
				OtherProperties,"323,400,000","50,000,000","360,800,000","366,900,000","370,600,000","41,000,000","376,500,000","381,100,000","383,600,000","36,600,000","390,200,000","401,200,000","403,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,"-325,500,000",,,,"-316,900,000",,,,"-262,800,000",,,,"-213,299,000",,,,"-187,370,000",,,,"-160,074,000",,,,"-145,785,000",,,,"-135,881,000",,,,"-123,539,000",,,,"-105,222,000",,,,"-88,433,000",,,,"-73,279,000",,,,"-61,594,000",,,,"-44,478,000","-33,988,000","-33,988,000","-33,988,000","-33,988,000","-18,927,000","-18,927,000","-18,927,000","-18,927,000","-8,401,000","-8,401,000"
